ONS ward No.,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both) ,Ballot paper not returned,Postal voting statement unreturned,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,
E05001272,Sandwell,Old Warley,"9,307","3,075",33.0,"3,064",32.9,"3,136",33.7,0,2,0,9,0,11,1274,1,0,1275,1,819,9,0,1,0,0,6,440,1275,819,7,29,758,42,,,,,,,,,,,,,,,,,,,,,,,,,
E05001273,Sandwell,Oldbury,"9,807","3,388",34.5,"3,379",34.5,"3,472",35.4,0,3,0,6,0,9,1381,3,0,1384,4,995,20,0,3,0,0,8,358,1384,995,10,51,911,68,,,,,,,,,,,,,,,,,,,,,,,,,
E05001274,Sandwell,Princes End,"9,348","2,272",24.3,"2,260",24.2,"2,299",24.6,0,3,0,9,0,12,694,1,0,695,2,481,5,0,1,0,0,1,207,695,481,1,10,454,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05001275,Sandwell,Rowley,"9,174","2,535",27.6,"2,466",26.9,"2,608",28.4,0,5,0,64,0,69,1253,3,0,1256,4,897,5,0,3,0,0,5,346,1256,897,8,22,824,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05001277,Sandwell,Smethwick,"9,812","3,205",32.7,"3,152",32.1,"3,259",33.2,0,10,0,43,0,53,710,0,0,710,5,506,6,0,0,0,0,9,189,710,506,4,28,452,36,,,,,,,,,,,,,,,,,,,,,,,,,
E05001278,Sandwell,Soho & Victoria,"9,668","3,592",37.2,"3,565",36.9,"3,667",37.9,0,5,0,22,0,27,1238,6,0,1244,10,895,12,0,6,0,0,2,329,1244,895,4,43,820,55,,,,,,,,,,,,,,,,,,,,,,,,,
E05001276,Sandwell,St. Pauls,"9,835","3,681",37.4,"3,654",37.2,"3,755",38.2,0,2,0,25,0,27,1106,0,0,1106,2,805,19,0,0,0,0,2,280,1106,805,5,40,731,52,,,,,,,,,,,,,,,,,,,,,,,,,
E05001279,Sandwell,Tipton Green,"10,120","3,008",29.7,"2,864",28.3,"3,077",30.4,0,16,0,128,0,144,1033,3,0,1036,5,753,8,0,3,0,0,6,266,1036,753,6,20,684,30,,,,,,,,,,,,,,,,,,,,,,,,,
E05001280,Sandwell,Tividale,"9,213","2,685",29.1,"2,675",29.0,"2,728",29.6,0,4,0,6,0,10,949,1,0,950,3,698,8,0,1,0,0,3,240,950,698,4,22,655,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05001281,Sandwell,Wednesbury North,"9,472","2,796",29.5,"2,773",29.3,"2,827",29.8,0,5,0,18,0,23,729,1,0,730,1,549,4,0,1,0,0,1,175,730,549,2,15,518,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05001282,Sandwell,Wednesbury South,"9,710","2,891",29.8,"2,882",29.7,"2,931",30.2,0,3,0,6,0,9,1018,3,0,1021,4,707,8,0,3,0,0,1,302,1021,707,2,20,667,24,,,,,,,,,,,,,,,,,,,,,,,,,
E05001283,Sandwell,West Bromwich Central,"9,826","3,158",32.1,"3,062",31.2,"3,240",33.0,0,14,0,82,0,96,766,2,0,768,4,553,12,0,2,0,0,5,196,768,553,13,20,471,38,,,,,,,,,,,,,,,,,,,,,,,,,
E05000932,Sefton,AINSDALE,"9,488","3,997",42.1,"3,987",42.0,"4,025",42.4,1,1,,8,,10,1912,1,,1913,3,1333,21,1,,,,,558,1913,1354,,21,1305,,857,99,246,2,139,02/05/2014,06/05/2014,,,yes,1,6,1,194,150,97,890,,Xpress,Xpress,132,,,,
E05000933,Sefton,Birkdale,"9,713","3,627",37.3,"3,617",37.2,"3,643",37.5,,,,10,,10,1718,4,,1722,6,1178,16,1,3,,,5,519,1722,1199,,21,1162,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000934,Sefton,BLUNDELLSANDS,"9,783","3,727",38.1,"3,715",38.0,"3,746",38.3,,,,12,,12,1392,1,,1393,1,921,10,,1,,,1,460,1393,932,1,10,902,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000935,Sefton,CAMBRIDGE,"9,412","3,676",39.1,"3,655",38.8,"3,710",39.4,,1,,20,,21,2067,3,,2070,11,1436,20,2,1,,,4,607,2070,1460,,24,1402,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000936,Sefton,CHURCH,"8,706","2,906",33.4,"2,902",33.3,"2,925",33.6,,,,4,,4,1082,2,,1084,3,712,16,,2,,,10,344,1084,738,1,24,693,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000937,Sefton,Derby,"8,547","2,203",25.8,"2,184",25.6,"2,218",26.0,,2,,17,,19,932,,,932,7,587,1,,,,,10,334,932,598,1,10,572,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000938,Sefton,DUKES,"10,157","3,561",35.1,"3,551",35.0,"3,587",35.3,,1,,9,,10,2065,6,,2071,12,1375,6,2,4,,,19,665,2071,1400,,25,1349,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000939,Sefton,Ford,"8,813","2,440",27.7,"2,420",27.5,"2,457",27.9,,2,,18,,20,1079,,,1079,1,705,1,,,,,19,354,1079,725,1,19,688,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000940,Sefton,Harington,"9,627","3,826",39.7,"3,802",39.5,"3,848",40.0,,,,24,,24,1728,4,,1732,4,1217,18,1,3,,,4,489,1732,1239,,22,1195,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000941,Sefton,Kew,"9,530","3,200",33.6,"3,188",33.5,"3,231",33.9,,,,12,,12,1754,,,1754,4,1195,20,,,,,8,561,1754,1193,,28,1164,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000942,Sefton,Linacre,"7,974","2,051",25.7,"2,038",25.6,"2,068",25.9,,,,13,,13,941,1,,942,4,625,2,,1,,,12,302,942,639,,14,608,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000943,Sefton,Litherland,"8,097","2,355",29.1,"2,339",28.9,"2,381",29.4,,5,,11,,16,881,3,,884,3,557,,,3,,,9,315,884,566,1,8,531,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000944,Sefton,Manor,"9,005","3,478",38.6,"3,466",38.5,"3,640",40.4,,,,12,,12,1532,1,,1533,2,1068,21,,1,,,1,442,1533,1090,,22,906,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000945,Sefton,MEOLS,"9,654","3,521",36.5,"3,509",36.3,"3,537",36.6,,1,,11,,12,1780,7,,1787,9,1241,24,,7,,,3,512,1787,1268,1,26,1225,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000946,Sefton,Molyneux,"9,888","3,405",34.4,"3,389",34.3,"3,415",34.5,,,,16,,16,1358,,,1358,1,847,18,,,,,5,488,1358,870,,23,837,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000947,Sefton,Netherton & Orrell,"8,989","2,530",28.1,"2,521",28.0,"2,549",28.4,5,4,,,,9,1150,1,,1151,1,738,6,,1,,,6,400,1151,750,,12,719,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000948,Sefton,Norwood,"9,954","3,250",32.7,"3,240",32.5,"3,270",32.9,1,1,,8,,10,1844,6,,1850,9,1182,30,3,3,,,4,628,1850,1216,1,33,1162,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000949,Sefton,Park,"9,558","3,504",36.7,"3,491",36.5,"3,523",36.9,,,,13,,13,1378,1,,1379,4,884,19,1,,,,7,468,1379,910,,26,865,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000950,Sefton,Ravenmeols,"9,243","4,053",43.8,"4,033",43.6,"4,075",44.1,,,,20,,20,1632,10,,1642,10,1156,19,3,7,,,,457,1642,1175,,19,1134,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000951,Sefton,St. Oswald,"8,148","2,357",28.9,"2,330",28.6,"2,380",29.2,,5,,22,,27,1026,,,1026,2,687,16,,,,,7,316,1026,710,,23,664,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000952,Sefton,Sudell,"9,916","3,459",34.9,"3,450",34.8,"3,480",35.1,,,,9,,9,1696,1,,1697,4,1100,20,,1,,,3,570,1694,1126,1,25,1079,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000953,Sefton,Victoria,"10,118","3,813",37.7,"3,799",37.5,"3,826",37.8,,1,,13,,14,1334,3,,1337,5,866,6,1,2,,,,462,1337,874,,6,853,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001039,Sheffield,Arbourthorne,"13,632","3,852",28.3,"3,849",28.2,"3,902",28.6,,,,3,,3,2853,1,,2854,,2064,23,,1,,,6,760,2854,2064,32,18,2014,50,30,40,99,10,202,01/05/2014,08/05/2014,3672,345,no,239,34,307,315,179,154,728,141,Halarose,Idox,207,,,,
E05001040,Sheffield,Beauchief & Greenhill,"13,639","5,327",39.1,"5,312",38.9,"5,367",39.4,,4,1,10,,15,2680,4,,2684,,1961,23,,4,,,6,690,2684,1961,22,19,1921,41,,,,,,,,,,,,,,,,,,,,,,,,,
E05001041,Sheffield,Beighton,"13,625","3,929",28.8,"3,921",28.8,"3,959",29.1,,,,8,,8,2886,1,,2887,,1950,20,,1,,,12,904,2887,1950,19,11,1920,30,,,,,,,,,,,,,,,,,,,,,,,,,
E05001042,Sheffield,Birley,"12,941","4,268",33.0,"4,257",32.9,"4,305",33.3,,3,,8,,11,2635,4,,2639,,1827,47,,4,,,,752,2639,1827,15,22,1790,37,,,,,,,,,,,,,,,,,,,,,,,,,
E05001043,Sheffield,Broomhill,"13,039","4,670",35.8,"4,657",35.7,"4,685",35.9,,5,,8,,13,1166,2,,1168,,840,7,,2,,,3,316,1168,840,9,6,825,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05001044,Sheffield,Burngreave,"15,644","5,291",33.8,"5,269",33.7,"5,365",34.3,,6,,16,,22,2658,4,,2662,,1864,53,,4,,,13,728,2662,1864,25,49,1790,74,,,,,,,,,,,,,,,,,,,,,,,,,
E05001045,Sheffield,Central,"19,672","5,266",26.8,"5,244",26.7,"5,365",27.3,,5,,17,,22,2346,5,,2351,,1633,30,1,4,,,20,663,2351,1633,24,75,1534,99,,,,,,,,,,,,,,,,,,,,,,,,,
E05001046,Sheffield,Crookes,"13,842","6,589",47.6,"6,552",47.3,"6,612",47.8,,3,,34,,37,2279,1,,2280,,1637,26,,1,,,12,604,2280,1637,8,15,1614,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05001047,Sheffield,Darnall,"16,140","5,827",36.1,"5,807",36.0,"5,900",36.6,,8,1,11,,20,2811,5,,2816,,2001,29,,5,,,7,774,2816,2001,21,52,1928,73,,,,,,,,,,,,,,,,,,,,,,,,,
E05001048,Sheffield,Dore & Totley,"13,433","6,201",46.2,"6,195",46.1,"6,238",46.4,,3,,3,,6,3232,1,,3233,,2325,20,1,,,,11,876,3233,2325,19,18,2288,37,,,,,,,,,,,,,,,,,,,,,,,,,
E05001049,Sheffield,East Ecclesfield,"14,436","5,079",35.2,"5,070",35.1,"5,114",35.4,,4,2,3,,9,3076,1,,3077,,2177,19,,1,,,5,875,3077,2177,21,14,2142,35,,,,,,,,,,,,,,,,,,,,,,,,,
E05001050,Sheffield,Ecclesall,"14,834","6,960",46.9,"6,944",46.8,"6,988",47.1,,2,4,10,,16,3110,2,,3112,,2219,30,,2,,,5,856,3112,2219,16,12,2191,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05001051,Sheffield,Firth Park,"14,585","4,392",30.1,"4,384",30.1,"4,463",30.6,,,,8,,8,2538,,,2538,,1816,22,,,,,13,687,2538,1816,29,42,1745,71,,,,,,,,,,,,,,,,,,,,,,,,,
E05001052,Sheffield,Fulwood,"14,465","6,385",44.1,"6,367",44.0,"6,406",44.3,,5,,13,,18,2493,4,,2497,,1854,8,,4,,,6,625,2497,1854,16,5,1833,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05001053,Sheffield,Gleadless Valley,"14,458","5,330",36.9,"5,309",36.7,"5,371",37.1,,7,,14,,21,2747,2,,2749,,1984,5,,2,,,13,745,2749,1984,19,22,1943,41,,,,,,,,,,,,,,,,,,,,,,,,,
E05001054,Sheffield,Graves Park,"13,404","5,728",42.7,"5,707",42.6,"5,758",43.0,,4,1,16,,21,2633,4,,2637,,1931,19,,4,,,5,678,2637,1931,18,12,1901,30,,,,,,,,,,,,,,,,,,,,,,,,,
E05001055,Sheffield,Hillsborough,"14,043","5,222",37.2,"5,192",37.0,"5,262",37.5,,1,,29,,30,2392,4,,2396,,1644,23,,4,,,9,716,2396,1644,21,19,1604,40,,,,,,,,,,,,,,,,,,,,,,,,,
E05001056,Sheffield,Manor Castle,"13,794","3,542",25.7,"3,506",25.4,"3,575",25.9,,4,,32,,36,2321,1,,2322,,1658,11,,1,,,10,642,2322,1658,21,12,1625,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05001057,Sheffield,Mosborough,"13,756","4,641",33.7,"4,627",33.6,"4,697",34.1,,1,,13,,14,3068,2,,3070,,2210,7,,2,,,5,846,3070,2210,25,31,2154,56,,,,,,,,,,,,,,,,,,,,,,,,,
E05001058,Sheffield,Nether Edge,"13,406","6,248",46.6,"6,228",46.5,"6,285",46.9,,13,,7,,20,2557,6,,2563,,1842,21,,6,,,6,688,2563,1842,12,25,1805,37,,,,,,,,,,,,,,,,,,,,,,,,,
E05001059,Sheffield,Richmond,"13,282","4,195",31.6,"4,185",31.5,"4,232",31.9,,2,,8,,10,2538,3,,2541,,1839,8,,3,,,4,687,2541,1839,22,15,1802,37,,,,,,,,,,,,,,,,,,,,,,,,,
E05001060,Sheffield,Shiregreen & Brightside,"14,424","4,479",31.1,"4,465",31.0,"4,536",31.4,,,,14,,14,2638,5,,2643,,1961,23,,5,,,10,644,2643,1961,32,25,1904,57,,,,,,,,,,,,,,,,,,,,,,,,,
E05001061,Sheffield,Southey,"13,638","3,741",27.4,"3,728",27.3,"3,787",27.8,,3,,10,,13,2364,,,2364,,1735,14,,,,,4,611,2364,1735,17,29,1689,46,,,,,,,,,,,,,,,,,,,,,,,,,
E05001062,Sheffield,Stannington,"14,515","6,146",42.3,"6,117",42.1,"6,201",42.7,,4,,25,,29,3108,2,,3110,,2257,31,,2,,,2,818,3110,2257,27,28,2202,55,,,,,,,,,,,,,,,,,,,,,,,,,
E05001063,Sheffield,Stocksbridge & Upper Don,"14,491","5,628",38.8,"5,622",38.8,"5,661",39.1,,,1,5,,6,2921,4,,2925,,2026,19,,4,,,4,872,2925,2026,20,13,1993,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05001064,Sheffield,Walkley,"14,580","5,584",38.3,"5,559",38.1,"5,634",38.6,,4,,21,,25,2564,2,,2566,,1814,21,11,1,1,,5,724,2566,1814,29,21,1764,50,,,,,,,,,,,,,,,,,,,,,,,,,
E05001065,Sheffield,West Ecclesfield,"14,331","5,168",36.1,"5,156",36.0,"5,213",36.4,,3,,9,,12,3038,2,,3040,,2094,20,,2,,,11,913,3040,2094,22,23,2049,45,,,,,,,,,,,,,,,,,,,,,,,,,
E05001066,Sheffield,Woodhouse,"13,586","4,244",31.2,"4,221",31.1,"4,278",31.5,,5,1,17,,23,2489,3,1,2493,,1767,30,,3,1,,11,681,2493,1767,19,15,1733,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05001284,Solihull,Bickenhill,"9,458","2,978",31.5,"2,969",31.4,"3,005",31.8,5,2,0,2,0,9,1050,0,0,1050,0,688,8,0,0,0,0,0,354,1050,688,4,13,661,17,N/A,N/A,228,37,79,N/A,N/A,N/A,N/A,N/A,14,6,12,73,109,31,0,0,Xpress,Xpress,98,,,,
E05001285,Solihull,Blythe,"10,317","3,489",33.8,"3,466",33.6,"3,561",34.5,0,3,0,20,0,23,1350,1,0,1351,5,937,25,1,0,0,0,2,385,1350,937,4,9,865,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05001286,Solihull,CASTLE BROMWICH,"9,546","3,147",33.0,"3,138",32.9,"3,181",33.3,0,2,7,0,0,9,966,0,0,966,2,685,11,0,0,0,0,1,269,966,685,5,4,651,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05001287,Solihull,Chelmsley Wood,"8,971","2,538",28.3,"2,532",28.2,"2,573",28.7,0,2,0,4,0,6,873,0,0,873,2,591,9,0,0,0,0,3,270,873,591,3,10,556,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05001288,Solihull,Dorridge & Hockley Heath,"8,864","3,337",37.6,"3,304",37.3,"3,384",38.2,0,1,0,32,0,33,1236,0,0,1236,5,877,12,0,0,0,0,6,341,1236,877,1,5,830,6,,,,,,,,,,,,,,,,,,,,,,,,,
E05001289,Solihull,Elmdon,"9,709","3,343",34.4,"3,336",34.4,"3,354",34.5,0,0,0,7,0,7,1276,2,0,1278,6,883,12,0,2,0,0,0,379,1276,883,2,9,872,11,,,,,,,,,,,,,,,,,,,,,,,,,
E05001290,Solihull,Kingshurst & Fordbridge,"9,235","2,174",23.5,"2,170",23.5,"2,216",24.0,0,0,0,4,0,4,833,0,0,833,4,535,7,0,0,0,0,4,287,833,535,0,16,493,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05001291,Solihull,Knowle,"8,354","3,128",37.4,"3,090",37.0,"3,198",38.3,0,1,1,36,0,38,1339,2,0,1341,3,950,16,0,2,0,0,5,366,1339,950,2,11,880,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05001292,Solihull,Lyndon,"10,281","3,316",32.3,"3,279",31.9,"3,374",32.8,0,8,0,29,0,37,1349,0,0,1349,2,948,17,0,0,0,0,5,379,1349,948,0,18,890,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05001293,Solihull,Meriden,"9,599","3,628",37.8,"3,602",37.5,"3,693",38.5,0,4,3,19,0,26,1383,1,0,1384,1,916,19,1,0,0,0,2,445,1383,916,1,7,851,8,,,,,,,,,,,,,,,,,,,,,,,,,
E05001294,Solihull,Olton,"10,108","3,688",36.5,"3,650",36.1,"3,776",37.4,0,5,0,33,0,38,1856,1,0,1857,4,1333,27,0,1,0,0,12,483,1856,1333,5,23,1245,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05001296,Solihull,Shirley East,"8,941","3,376",37.8,"3,366",37.6,"3,423",38.3,0,2,0,8,0,10,1261,1,0,1262,4,887,9,1,0,0,0,0,364,1261,887,0,17,840,17,,,,,,,,,,,,,,,,,,,,,,,,,
E05001297,Solihull,Shirley South,"10,155","3,719",36.6,"3,706",36.5,"3,791",37.3,0,6,4,3,0,13,1577,2,0,1579,3,1090,17,0,2,0,0,7,461,1577,1090,1,19,1018,20,,,,,,,,,,,,,,,,,,,,,,,,,
E05001298,Solihull,SHIRLEY WEST,"9,402","3,103",33.0,"3,091",32.9,"3,156",33.6,0,0,0,12,0,12,1008,0,0,1008,6,701,8,0,0,0,0,1,298,1008,701,2,13,648,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05001299,Solihull,Silhill,"9,554","3,487",36.5,"3,463",36.2,"3,569",37.4,0,0,0,24,0,24,1770,3,0,1773,4,1204,21,0,3,0,0,9,533,1770,1204,0,18,1122,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05001300,Solihull,Smiths Wood,"8,844","2,147",24.3,"2,144",24.2,"2,166",24.5,0,3,0,0,0,3,701,0,0,701,2,492,8,0,0,0,0,3,198,701,492,1,9,473,10,,,,,,,,,,,,,,,,,,,,,,,,,
E05001295,Solihull,St. Alphege,"10,627","3,996",37.6,"3,978",37.4,"4,052",38.1,0,0,0,18,0,18,1904,6,0,1910,11,1335,17,0,6,0,0,5,541,1904,1335,1,12,1279,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05001135,South Tyneside,Beacon & Bents,"6,902","2,483",36.0,"2,471",35.8,"2,600",37.7,,,,,,12,2140,4,0,2144,11,1456,9,0,4,0,0,2,673,2144,1456,26,68,1339,117,190,5,90,0,125,06/05/2014,13/05/2014,2459,86,Yes,80,90,168,275,158,62,278,97,Idox,Idox,80,,,,
E05001136,South Tyneside,Bede,"6,019","1,987",33.0,"1,972",32.8,"2,048",34.0,0,2,0,13,0,15,1931,2,0,1933,10,1256,5,1,1,1,0,4,665,1933,1256,18,23,1195,61,,,,,,,,,,,,,,,,,,,,,,,,,
E05001137,South Tyneside,Biddick & All Saints,"6,452","1,788",27.7,"1,780",27.6,"1,867",28.9,0,2,0,6,0,8,1859,0,0,1859,5,1239,3,0,0,0,0,4,613,1859,1239,25,27,1160,79,,,,,,,,,,,,,,,,,,,,,,,,,
E05001138,South Tyneside,Boldon Colliery,"7,332","2,450",33.4,"2,440",33.3,"2,556",34.9,0,1,0,9,0,10,2633,3,0,2636,7,1667,6,0,3,0,0,1,959,2636,1667,15,34,1561,106,,,,,,,,,,,,,,,,,,,,,,,,,
E05001139,South Tyneside,Cleadon & East Boldon,"6,962","3,112",44.7,"3,100",44.5,"3,202",46.0,0,0,0,12,0,12,3055,0,0,3055,10,1999,11,0,0,1,0,1,1043,3055,1999,29,16,1909,90,,,,,,,,,,,,,,,,,,,,,,,,,
E05001140,South Tyneside,Cleadon Park,"5,573","1,930",34.6,"1,919",34.4,"1,993",35.8,0,0,0,11,0,11,1862,1,0,1863,12,1260,7,1,0,0,0,4,591,1863,1260,17,26,1197,63,,,,,,,,,,,,,,,,,,,,,,,,,
E05001141,South Tyneside,Fellgate & Hedworth,"5,853","2,286",39.1,"2,276",38.9,"2,342",40.0,0,1,0,9,0,10,1853,0,0,1853,7,1288,7,0,0,0,0,0,558,1853,1288,20,23,1232,56,,,,,,,,,,,,,,,,,,,,,,,,,
E05001142,South Tyneside,Harton,"6,761","2,306",34.1,"2,295",33.9,"2,417",35.7,0,0,0,11,0,11,2535,0,0,2535,3,1677,2,0,0,1,0,4,851,2535,1677,24,23,1566,111,,,,,,,,,,,,,,,,,,,,,,,,,
E05001143,South Tyneside,Hebburn North,"6,733","2,065",30.7,"2,055",30.5,"2,110",31.3,0,2,0,8,0,10,1994,0,0,1994,7,1227,12,0,0,0,0,0,755,1994,1227,15,22,1182,45,,,,,,,,,,,,,,,,,,,,,,,,,
E05001144,South Tyneside,Hebburn South,"6,002","2,311",38.5,"2,298",38.3,"2,372",39.5,0,0,0,13,0,13,2146,0,0,2146,7,1487,4,0,0,0,0,1,654,2146,1487,24,27,1426,61,,,,,,,,,,,,,,,,,,,,,,,,,
E05001145,South Tyneside,Horsley Hill,"7,102","2,637",37.1,"2,625",37.0,"2,706",38.1,0,2,0,10,0,12,2613,2,0,2615,10,1702,6,0,2,0,0,0,905,2615,1702,25,29,1633,69,,,,,,,,,,,,,,,,,,,,,,,,,
E05001146,South Tyneside,Monkton,"6,310","2,035",32.3,"2,023",32.1,"2,115",33.5,0,0,0,12,0,12,1918,2,0,1920,6,1214,7,0,2,0,0,6,691,1920,1214,19,5,1134,80,,,,,,,,,,,,,,,,,,,,,,,,,
E05001147,South Tyneside,Primrose,"6,327","1,862",29.4,"1,852",29.3,"1,931",30.5,0,0,0,10,0,10,1883,0,0,1883,6,1264,7,0,0,0,0,3,609,1883,1264,22,18,1195,69,,,,,,,,,,,,,,,,,,,,,,,,,
E05001148,South Tyneside,Simonside & Rekendyke,"6,206","1,883",30.3,"1,877",30.2,"1,918",30.9,5,0,0,1,0,6,1920,2,1,1923,21,1233,3,1,1,1,0,6,678,1923,1233,10,20,1198,35,,,,,,,,,,,,,,,,,,,,,,,,,
E05001150,South Tyneside,West Park,"5,611","1,821",32.5,"1,816",32.4,"1,872",33.4,0,0,0,5,0,5,1816,0,0,1816,9,1148,11,0,0,0,0,0,657,1816,1148,18,27,1097,51,,,,,,,,,,,,,,,,,,,,,,,,,
E05001149,South Tyneside,Westoe,"6,275","2,178",34.7,"2,157",34.4,"2,228",35.5,0,2,0,19,0,21,1990,0,0,1990,5,1254,3,0,0,0,0,5,728,1990,1254,9,34,1204,50,,,,,,,,,,,,,,,,,,,,,,,,,
E05001151,South Tyneside,Whitburn & Marsden,"5,894","2,214",37.6,"2,196",37.3,"2,295",38.9,0,4,0,14,0,18,2302,2,0,2302,9,1535,6,0,2,2,0,3,756,2304,1535,18,40,1454,81,,,,,,,,,,,,,,,,,,,,,,,,,
E05001152,South Tyneside,Whiteleas,"6,499","2,114",32.5,"2,105",32.4,"2,186",33.6,0,0,0,9,0,9,2187,0,0,2187,7,1431,3,0,0,0,0,4,749,2187,1431,24,33,1359,72,,,,,,,,,,,,,,,,,,,,,,,,,
E05000916,St Helens,Billinge & Seneley Green,"8,870","3,042",34.3,"3,035",34.2,"3,109",35.1,0,2,0,5,0,7,1980,0,0,1980,3,1459,3,0,0,0,0,0,518,1980,1459,14,18,1392,32,124,9,54,1,55,N/A,06/05/2014,994,3,Yes,52,32,136,63,139,62,14,17,Xpress,Xpress,88,,,,
E05000917,St Helens,Blackbrook,"8,290","2,525",30.5,"2,512",30.3,"2,610",31.5,0,2,0,11,0,13,1751,1,0,1752,4,1359,7,0,1,0,0,1,384,1752,1359,15,16,1274,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05000918,St Helens,Bold,"7,556","2,169",28.7,"2,160",28.6,"2,238",29.6,0,1,0,8,0,9,1294,2,0,1296,3,939,5,0,2,0,0,0,350,1296,939,8,14,870,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05000919,St Helens,Earlestown,"8,255","2,275",27.6,"2,259",27.4,"2,385",28.9,0,2,0,14,0,16,1503,0,0,1503,2,1140,4,0,0,0,0,4,355,1503,1140,14,12,1030,26,,,,,,,,,,,,,,,,,,,,,,,,,
E05000920,St Helens,Eccleston,"9,274","3,441",37.1,"3,434",37.0,"3,549",38.3,0,1,0,6,0,7,2316,0,0,2316,4,1707,7,0,0,0,0,3,599,2316,1707,26,20,1599,46,,,,,,,,,,,,,,,,,,,,,,,,,
E05000921,St Helens,Haydock,"9,034","2,585",28.6,"2,572",28.5,"2,652",29.4,0,0,0,13,0,13,1844,0,0,1844,1,1320,5,0,0,0,0,1,518,1844,1320,10,19,1253,29,,,,,,,,,,,,,,,,,,,,,,,,,
